"","value","value.1","value.2","value.3","value.4","value.5","value.6","value.7","value.8","value.9","value.10","value.11"
"Mean",0.114344821587698,0.0983864929892497,0.110895469828275,0.101890441039855,0.118703888027678,0.108113079841596,0.110250891120062,0.107386998756904,0.0910451087123431,0.0861624692556119,0.0917555582388034,0.0846636297970695
"Std.Dev",0.0326219040706736,0.0274040941615742,0.031328828451251,0.0256107261453388,0.0246854892870466,0.0205917912524374,0.0201951552459717,0.0196242153019376,0.0150753855171396,0.0158644898630959,0.0129212433949343,0.0171317214796114
"Min",0.0474901175593193,0.0608360535372339,0.0509064052619788,0.0527337173756374,0.0561238472673014,0.0692711782854228,0.0827178486791062,0.0675787085126677,0.0641697666749815,0.0633494993837988,0.0689825022241375,0.0473708892627801
"Q1",0.0872779751096459,0.0755401421888138,0.0891883208540433,0.0792213348010791,0.113138603266985,0.0926449665032627,0.0938557252851326,0.0966491480063165,0.0811032410135593,0.0724350588243035,0.0834932717755662,0.07149729555912
"Median",0.127151478242771,0.0971502144680819,0.10906668626685,0.0999568079854918,0.121106154380109,0.107679704958988,0.105273480944229,0.104257948077697,0.0909564355369718,0.0835959957471765,0.0900043836788301,0.0862587562534359
"Q3",0.139469283983217,0.122237226324381,0.135733957896974,0.121411275720995,0.132456754603026,0.120786603442591,0.123666554878007,0.126209474230535,0.100314558683566,0.0933201327436394,0.100273198256638,0.0995995009426228
"Max",0.175595152025369,0.155495153151037,0.159791025443952,0.148080383420628,0.171109776733522,0.155684998558495,0.158273127319152,0.150272043835254,0.127402069283436,0.130183947628608,0.117041516534143,0.109123287679054
"MAD",0.0232061239482592,0.0320390931612429,0.0347626330280229,0.0313159131197794,0.0129737590915303,0.0194322876917892,0.0182251941579498,0.0131710204542923,0.0138743533771403,0.0144170055109559,0.0139379281401548,0.0200896340469928
"IQR",0.04187091317838,0.0398708863108779,0.0439425236006433,0.0356022005114685,0.0173379888300053,0.0256817295814398,0.0276462191771745,0.0251477298553458,0.0183798032770938,0.0180444875165658,0.0148342261713543,0.0268183930815644
"CV",0.285294109673816,0.278535125391333,0.282507739042583,0.251355533296013,0.207958557189726,0.190465309864523,0.183174530752585,0.182742934704431,0.165581498340237,0.184122971406865,0.140822459619345,0.202350425096047
"Skewness",-0.561796081457511,0.532059940516682,-0.196016219758298,-0.144858790952661,-0.541420727957901,0.387084282639374,0.778449083941937,0.192117829401364,0.481840835284274,0.76901885940737,0.122937959250715,-0.456646825298772
"SE.Skewness",0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028,0.447852016375307,0.447852016375307,0.48133666148028,0.48133666148028
"Kurtosis",-0.67915669825423,-0.793497681009196,-1.12018753528692,-0.981435559584302,0.348292555105713,-0.203498237534918,-0.287225706476842,-0.29116205270222,-0.0547648884291028,0.496778736547411,-0.870149991095413,-0.883216441640843
"N.Valid",27,27,23,23,27,27,23,23,27,27,23,23
"Pct.Valid",100,100,100,100,100,100,100,100,100,100,100,100
