"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0441,-0.0412,-0.0646,-0.0662,-0.0406,-0.0338,-0.038,-0.0408,-0.0568,-0.0433
"Quartile 1",-0.0045,-0.0049,-0.0076,-0.008,-0.0036,-0.0036,-0.0041,-0.0049,-0.0068,-0.0035
"Median",0.0011,0.0012,7e-04,0.001,9e-04,0.001,9e-04,9e-04,0.001,8e-04
"Arithmetic Mean",6e-04,7e-04,9e-04,0.0011,7e-04,7e-04,8e-04,8e-04,9e-04,6e-04
"Geometric Mean",6e-04,7e-04,8e-04,0.001,6e-04,7e-04,7e-04,8e-04,8e-04,6e-04
"Quartile 3",0.0063,0.0066,0.0094,0.0099,0.0051,0.0053,0.0063,0.0066,0.0082,0.0052
"Maximum",0.0356,0.0365,0.0622,0.0605,0.0344,0.0307,0.0318,0.0355,0.0477,0.0348
"SE Mean",2e-04,3e-04,4e-04,4e-04,2e-04,2e-04,2e-04,2e-04,3e-04,2e-04
"LCL Mean (0.95)",1e-04,2e-04,2e-04,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,2e-04
"UCL Mean (0.95)",0.0011,0.0012,0.0016,0.0018,0.0011,0.0011,0.0012,0.0013,0.0015,0.0011
"Variance",1e-04,1e-04,2e-04,2e-04,1e-04,1e-04,1e-04,1e-04,1e-04,1e-04
"Stdev",0.0095,0.0101,0.0139,0.0146,0.0081,0.0081,0.0088,0.0094,0.0122,0.0081
"Skewness",-0.337,-0.2656,0.0291,0.1135,-0.2587,-0.2922,-0.2789,-0.072,-0.0187,-0.2911
"Kurtosis",1.5018,1.3196,1.208,1.0439,1.7043,1.5081,1.1782,0.8586,0.7238,1.9391
