"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0664,-0.0676,-0.0913,-0.0913,-0.0405,-0.0378,-0.0379,-0.059,-0.056,-0.0407
"Quartile 1",-0.0052,-0.005,-0.0089,-0.0089,-0.0035,-0.0039,-0.004,-0.0068,-0.0071,-0.0034
"Median",8e-04,0.001,6e-04,5e-04,7e-04,8e-04,9e-04,5e-04,4e-04,7e-04
"Arithmetic Mean",7e-04,7e-04,5e-04,6e-04,7e-04,7e-04,7e-04,6e-04,6e-04,7e-04
"Geometric Mean",6e-04,6e-04,4e-04,5e-04,6e-04,6e-04,7e-04,5e-04,5e-04,6e-04
"Quartile 3",0.0067,0.0069,0.0092,0.0098,0.0052,0.0055,0.0059,0.0077,0.008,0.0052
"Maximum",0.0427,0.0447,0.0784,0.0784,0.0343,0.0322,0.0332,0.0469,0.0455,0.0352
"SE Mean",3e-04,3e-04,4e-04,4e-04,2e-04,2e-04,2e-04,3e-04,3e-04,2e-04
"LCL Mean (0.95)",1e-04,1e-04,-3e-04,-2e-04,3e-04,2e-04,3e-04,0,-1e-04,3e-04
"UCL Mean (0.95)",0.0012,0.0012,0.0013,0.0014,0.0011,0.0011,0.0012,0.0012,0.0012,0.0011
"Variance",1e-04,1e-04,3e-04,3e-04,1e-04,1e-04,1e-04,2e-04,2e-04,1e-04
"Stdev",0.0103,0.0107,0.0159,0.0166,0.0081,0.0086,0.0091,0.0125,0.0128,0.008
"Skewness",-0.4421,-0.4234,0.0074,0.0967,-0.272,-0.338,-0.3629,-0.0788,-0.0467,-0.274
"Kurtosis",2.4606,2.3288,2.1881,2.1152,1.8027,1.7873,1.7277,1.2724,1.1043,1.8446
