"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0541,-0.0541,-0.1232,-0.1275,-0.0448,-0.0541,-0.0541,-0.1232,-0.1275,-0.0448
"Quartile 1",-0.0053,-0.006,-0.0102,-0.011,-0.0042,-0.0056,-0.0062,-0.0104,-0.0112,-0.0043
"Median",0.001,0.0011,-1e-04,-3e-04,8e-04,9e-04,0.0012,-3e-04,-4e-04,9e-04
"Arithmetic Mean",5e-04,6e-04,2e-04,2e-04,5e-04,5e-04,5e-04,2e-04,3e-04,5e-04
"Geometric Mean",4e-04,5e-04,0,0,5e-04,4e-04,4e-04,0,0,5e-04
"Quartile 3",0.0065,0.0077,0.0099,0.0109,0.0055,0.0067,0.0076,0.0102,0.0111,0.0055
"Maximum",0.0391,0.0452,0.1148,0.1128,0.0327,0.0396,0.05,0.1188,0.1232,0.0327
"SE Mean",3e-04,3e-04,5e-04,6e-04,2e-04,3e-04,3e-04,5e-04,6e-04,2e-04
"LCL Mean (0.95)",-1e-04,0,-9e-04,-9e-04,1e-04,-1e-04,-1e-04,-8e-04,-8e-04,1e-04
"UCL Mean (0.95)",0.001,0.0012,0.0012,0.0013,0.001,0.001,0.0011,0.0013,0.0014,0.001
"Variance",1e-04,1e-04,4e-04,5e-04,1e-04,1e-04,2e-04,4e-04,5e-04,1e-04
"Stdev",0.0107,0.012,0.0205,0.0218,0.0084,0.0108,0.0124,0.0209,0.0221,0.0084
"Skewness",-0.2768,-0.3172,0.3557,0.3316,-0.2392,-0.2532,-0.2913,0.3748,0.3669,-0.2397
"Kurtosis",1.7617,1.2866,4.8756,4.0044,1.513,1.543,1.36,4.6867,3.7407,1.5399
