"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.0572,-0.0573,-0.0746,-0.0718,-0.0455,-0.0447,-0.0541,-0.05,-0.0615,-0.0449
"Quartile 1",-0.006,-0.0062,-0.0105,-0.0109,-0.0044,-0.0043,-0.0056,-0.0057,-0.0085,-0.0044
"Median",0.0013,0.0012,7e-04,6e-04,0.001,0.0012,0.0014,9e-04,8e-04,0.0011
"Arithmetic Mean",8e-04,9e-04,5e-04,6e-04,8e-04,9e-04,9e-04,6e-04,6e-04,7e-04
"Geometric Mean",8e-04,8e-04,3e-04,4e-04,7e-04,9e-04,9e-04,6e-04,5e-04,7e-04
"Quartile 3",0.0085,0.0089,0.0113,0.0115,0.0063,0.0066,0.0077,0.0073,0.0098,0.0065
"Maximum",0.0478,0.0585,0.0792,0.076,0.0343,0.0315,0.0393,0.0443,0.0569,0.0345
"SE Mean",3e-04,3e-04,5e-04,5e-04,2e-04,2e-04,3e-04,3e-04,4e-04,2e-04
"LCL Mean (0.95)",2e-04,3e-04,-4e-04,-3e-04,3e-04,4e-04,4e-04,1e-04,-1e-04,3e-04
"UCL Mean (0.95)",0.0015,0.0016,0.0014,0.0015,0.0012,0.0014,0.0015,0.0012,0.0014,0.0012
"Variance",2e-04,2e-04,3e-04,3e-04,1e-04,1e-04,1e-04,1e-04,2e-04,1e-04
"Stdev",0.0123,0.0126,0.0179,0.0179,0.0093,0.0094,0.011,0.0107,0.0144,0.0094
"Skewness",-0.4033,-0.2685,0.0049,0.0363,-0.3303,-0.4213,-0.4157,-0.2162,-0.0623,-0.3086
"Kurtosis",1.4546,1.5094,1.3707,1.2533,1.3388,1.4351,1.3945,1.0878,0.9671,1.2412
