"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0066,0.0069,0.0101,0.0103,0.0059,0.0058,0.0062,0.0067,0.0089,0.0059
"Gain Deviation",0.0057,0.006,0.0095,0.0097,0.0052,0.005,0.0052,0.0059,0.0081,0.0053
"Loss Deviation",0.0063,0.0067,0.0089,0.0091,0.0058,0.0056,0.006,0.0061,0.0079,0.0059
"Downside Deviation (MAR=210%)",0.0115,0.0117,0.0148,0.015,0.0108,0.0108,0.0111,0.0115,0.0136,0.0109
"Downside Deviation (Rf=0%)",0.0063,0.0066,0.0097,0.0099,0.0055,0.0054,0.0058,0.0063,0.0084,0.0056
"Downside Deviation (0%)",0.0063,0.0066,0.0097,0.0099,0.0055,0.0054,0.0058,0.0063,0.0084,0.0056
"Maximum Drawdown",0.1782,0.1539,0.3559,0.3574,0.1337,0.1016,0.11,0.1831,0.2856,0.1552
"Historical VaR (95%)",-0.0142,-0.0157,-0.0216,-0.0216,-0.013,-0.013,-0.0136,-0.0148,-0.0192,-0.0134
"Historical ES (95%)",-0.0206,-0.0217,-0.03,-0.0307,-0.0184,-0.0181,-0.0194,-0.0202,-0.0264,-0.0188
"Modified VaR (95%)",-0.0147,-0.0153,-0.0224,-0.023,-0.0129,-0.0128,-0.0138,-0.0147,-0.0197,-0.0131
"Modified ES (95%)",-0.0213,-0.0224,-0.0302,-0.0306,-0.0194,-0.019,-0.0199,-0.0204,-0.0265,-0.02
