"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Observations",72,72,72,72,72,72,72,72,72,72
"NAs",0,0,0,0,0,0,0,0,0,0
"Minimum",-0.1087,-0.1288,-0.1333,-0.1409,-0.0999,-0.1289,-0.135,-0.1449,-0.1464,-0.0971
"Quartile 1",-0.0103,-0.0107,-0.0345,-0.035,-0.0067,-0.0108,-0.0143,-0.0322,-0.0326,-0.0069
"Median",0.0218,0.0171,0.009,0.0081,0.0216,0.0178,0.0131,0.007,0.0052,0.0215
"Arithmetic Mean",0.0152,0.0152,0.0119,0.013,0.0162,0.0138,0.015,0.0108,0.0129,0.0165
"Geometric Mean",0.0143,0.0142,0.01,0.011,0.0155,0.0129,0.0138,0.0089,0.0108,0.0157
"Quartile 3",0.0333,0.0374,0.0525,0.0531,0.0407,0.0324,0.0361,0.0538,0.0591,0.041
"Maximum",0.1231,0.125,0.1737,0.1737,0.093,0.1306,0.1426,0.159,0.1841,0.0946
"SE Mean",0.0049,0.0053,0.0074,0.0076,0.0047,0.0051,0.0057,0.0074,0.0078,0.0047
"LCL Mean (0.95)",0.0053,0.0046,-0.0029,-0.0021,0.007,0.0036,0.0036,-0.0039,-0.0026,0.0072
"UCL Mean (0.95)",0.025,0.0259,0.0266,0.0282,0.0255,0.024,0.0264,0.0255,0.0284,0.0258
"Variance",0.0017,0.0021,0.0039,0.0041,0.0016,0.0019,0.0024,0.0039,0.0044,0.0016
"Stdev",0.0418,0.0454,0.0628,0.0644,0.0395,0.0435,0.0485,0.0627,0.066,0.0395
"Skewness",-0.137,-1e-04,0.2619,0.1715,-0.4589,-0.2514,0.1326,0.2005,0.2543,-0.4288
"Kurtosis",0.7342,0.9208,-0.1668,-0.3443,0.5561,1.086,1.0364,-0.2153,-0.2606,0.5014
