"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0076,0.0083,0.0107,0.0109,0.0059,0.006,0.0068,0.007,0.009,0.0059
"Gain Deviation",0.0065,0.007,0.0104,0.0107,0.0052,0.0053,0.0057,0.0062,0.0081,0.0051
"Loss Deviation",0.0074,0.0082,0.0099,0.0098,0.0058,0.0059,0.0067,0.0065,0.0081,0.0058
"Downside Deviation (MAR=210%)",0.0123,0.0129,0.0153,0.0157,0.0109,0.011,0.0115,0.0119,0.0138,0.0108
"Downside Deviation (Rf=0%)",0.0072,0.0079,0.0103,0.0106,0.0055,0.0057,0.0064,0.0066,0.0086,0.0055
"Downside Deviation (0%)",0.0072,0.0079,0.0103,0.0106,0.0055,0.0057,0.0064,0.0066,0.0086,0.0055
"Maximum Drawdown",0.3307,0.407,0.456,0.4515,0.1452,0.1771,0.2578,0.2531,0.3599,0.1312
"Historical VaR (95%)",-0.0169,-0.0181,-0.0239,-0.0244,-0.0133,-0.0137,-0.0149,-0.0155,-0.0199,-0.0134
"Historical ES (95%)",-0.0239,-0.0261,-0.0326,-0.0325,-0.0186,-0.0191,-0.0215,-0.0216,-0.0271,-0.0187
"Modified VaR (95%)",-0.017,-0.0186,-0.0235,-0.0239,-0.0129,-0.0133,-0.015,-0.0155,-0.0201,-0.0129
"Modified ES (95%)",-0.0266,-0.0294,-0.0329,-0.0323,-0.0196,-0.0196,-0.0226,-0.0221,-0.0275,-0.0198
