"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0317,0.0394,0.0751,0.0583,0.0243,0.0244,0.026,0.0431,0.0447,0.0239
"Gain Deviation",0.0304,0.0296,0.0713,0.0507,0.0245,0.0212,0.0249,0.045,0.0437,0.0236
"Loss Deviation",0.0257,0.0336,0.0682,0.051,0.0195,0.0162,0.0188,0.0355,0.0382,0.0186
"Downside Deviation (MAR=10%)",0.028,0.0351,0.0793,0.0601,0.0214,0.0214,0.0221,0.0425,0.0433,0.0209
"Downside Deviation (Rf=0%)",0.0238,0.0311,0.0747,0.0557,0.0175,0.0171,0.0181,0.038,0.0389,0.0171
"Downside Deviation (0%)",0.0238,0.0311,0.0747,0.0557,0.0175,0.0171,0.0181,0.038,0.0389,0.0171
"Maximum Drawdown",0.1008,0.1446,0.6756,0.6102,0.1295,0.089,0.091,0.4397,0.4434,0.1087
"Historical VaR (95%)",-0.0577,-0.0722,-0.1867,-0.1282,-0.0445,-0.0457,-0.0452,-0.0965,-0.1025,-0.0407
"Historical ES (95%)",-0.0794,-0.1016,-0.2347,-0.1646,-0.0548,-0.0513,-0.0596,-0.1197,-0.1256,-0.0526
"Modified VaR (95%)",-0.0594,-0.0762,-0.1704,-0.1248,-0.042,-0.0433,-0.0452,-0.0862,-0.0899,-0.0407
"Modified ES (95%)",-0.0776,-0.102,-0.2232,-0.1688,-0.0562,-0.0533,-0.0587,-0.1107,-0.1187,-0.055
