"","top_10","top_10_alpha","bottom_10","bottom_10_alpha","benchmark_minus_20","top_10_pct","top_10_alpha_pct","bottom_10_pct","bottom_10_alpha_pct","benchmark_minus_20_pct"
"Semi Deviation",0.0094,0.0094,0.0122,0.0123,0.0068,0.008,0.0083,0.0097,0.0098,0.0068
"Gain Deviation",0.0075,0.008,0.0116,0.0113,0.0057,0.0065,0.0066,0.0086,0.0087,0.0057
"Loss Deviation",0.0089,0.0088,0.0113,0.011,0.0065,0.0077,0.0078,0.0088,0.0088,0.0065
"Downside Deviation (MAR=210%)",0.0138,0.0139,0.0168,0.017,0.0116,0.0126,0.0128,0.0145,0.0146,0.0116
"Downside Deviation (Rf=0%)",0.0089,0.0089,0.0119,0.012,0.0064,0.0076,0.0078,0.0094,0.0095,0.0064
"Downside Deviation (0%)",0.0089,0.0089,0.0119,0.012,0.0064,0.0076,0.0078,0.0094,0.0095,0.0064
"Maximum Drawdown",0.321,0.3089,0.5964,0.5948,0.1934,0.2484,0.288,0.5015,0.4628,0.1898
"Historical VaR (95%)",-0.0199,-0.0205,-0.026,-0.0266,-0.0147,-0.0172,-0.0174,-0.0199,-0.0211,-0.0148
"Historical ES (95%)",-0.0288,-0.0285,-0.0383,-0.0377,-0.0208,-0.0245,-0.0252,-0.0299,-0.0299,-0.0207
"Modified VaR (95%)",-0.021,-0.0209,-0.0271,-0.0274,-0.0152,-0.0179,-0.0184,-0.0219,-0.0221,-0.0151
"Modified ES (95%)",-0.0304,-0.0301,-0.0377,-0.0376,-0.0222,-0.0264,-0.0269,-0.0308,-0.0303,-0.022
